CITY,TOTAL_AMOUNT
"East David",301.21
Ravenberg,379.71
Davidview,316.26
Erikaberg,446.31
"North Brian",367.28
Brandimouth,361.60
"Lake Tyler",445.50
Gentryfort,344.80
"West Maria",366.66
Angelastad,426.10
"Lake Melissa",371.70
"South Rachelview",378.32
Thomaschester,489.60
Bakerton,320.25
"Lake Samantha",307.50
Bakerton,469.30
"East Chelsea",363.04
Gonzalestown,326.62
"Lake Julieborough",345.10
Jenniferfurt,442.80
"West Kimberlyhaven",466.60
Christopherchester,336.21
"South Timothy",394.70
"West Dakotaport",401.70
Mendezburgh,486.70
"South John",419.40
"South Rachelview",440.70
"Port Trevorchester",398.97
Wrightburgh,316.70
"East Richardburgh",411.66
Fieldsland,489.60
"Port Amandahaven",340.47
Crystalborough,449.01
Christopherchester,328.20
"East Jennifertown",359.64
"Lake Eric",319.90
Natashaville,399.04
"Port Jessica",346.50
Yvonneside,391.59
Josephstad,318.32
"South Victoriaport",363.04
Rothshire,305.36
Katietown,399.04
Robertsview,402.20
Jaclynfurt,356.72
Russellshire,399.20
Smithborough,491.50
"New Veronicaside",318.32
"Port Rebecca",396.45
"New Joehaven",321.12
Watsonfort,396.00
Kellermouth,350.60
Josephfurt,334.10
"South Rachelview",421.90
"New Monicastad",319.06
Matthewfurt,328.50
Rogersborough,387.27
Lindaburgh,325.92
"East Richardburgh",330.64
Buckbury,452.00
"Lake Charleshaven",459.10
Hallshire,301.21
Freemanland,469.70
Elizabethshire,465.40
Melissaside,480.30
