ORDER_ID,CUSTOMER_ID,BOOK_ID,ORDER_DATE,QUANTITY,TOTAL_AMOUNT
1,84,169,2023-05-26,8,188.56
2,137,301,2023-01-23,10,216.60
4,433,343,2023-11-25,7,301.21
5,14,431,2023-07-26,7,136.36
7,195,467,2023-10-23,6,82.92
11,131,206,2023-10-16,1,38.01
13,420,180,2023-06-08,5,125.45
14,454,319,2023-08-24,2,85.22
15,127,479,2023-01-10,6,229.62
16,412,196,2023-10-06,8,53.52
17,462,481,2023-03-20,5,52.75
19,496,60,2023-11-17,9,316.26
20,195,67,2023-07-14,1,10.23
23,119,301,2023-08-04,3,64.98
24,266,192,2023-07-10,3,145.11
25,265,250,2023-05-25,10,126.50
26,294,407,2023-06-11,1,42.19
29,305,446,2023-10-05,8,275.92
30,438,248,2023-09-23,6,281.94
35,303,172,2023-07-08,5,184.10
37,110,411,2023-12-27,4,60.12
38,15,466,2023-06-26,4,148.68
42,415,70,2023-09-19,3,70.35
46,319,442,2023-12-08,1,48.48
59,225,188,2023-02-11,7,140.98
60,404,49,2023-04-26,9,445.50
65,54,198,2023-05-06,9,201.42
66,180,323,2023-09-08,8,286.64
67,260,129,2023-04-20,9,366.66
68,246,319,2023-03-21,10,426.10
70,49,447,2023-05-29,6,217.50
73,411,81,2023-10-07,1,44.19
74,461,132,2023-04-08,10,204.60
75,291,375,2023-11-30,5,170.75
79,134,28,2023-10-06,2,75.02
80,265,17,2023-06-04,8,42.96
82,413,387,2023-03-08,5,237.10
85,75,31,2023-03-14,9,191.07
88,126,262,2023-04-16,5,105.10
90,457,137,2023-12-23,6,157.98
92,329,325,2023-02-24,5,202.00
95,447,426,2023-10-26,1,32.82
96,456,336,2023-08-09,8,192.64
97,408,221,2023-07-15,10,248.10
98,429,352,2023-12-15,1,6.01
99,166,250,2023-04-20,3,37.95
100,207,63,2023-07-14,1,22.38
101,154,344,2023-01-09,1,39.63
102,295,300,2023-05-10,9,241.83
106,334,449,2023-10-07,3,120.51
110,7,16,2023-04-30,1,10.07
117,385,52,2023-01-24,7,115.71
118,37,189,2023-01-14,3,40.95
119,328,148,2023-09-24,3,36.75
120,101,338,2023-01-14,1,10.17
122,136,56,2023-02-19,6,47.22
126,88,492,2023-12-08,2,88.14
129,364,388,2023-08-02,1,26.62
130,420,17,2023-05-13,1,5.37
132,469,333,2023-11-22,7,194.32
133,232,458,2023-03-13,4,149.12
134,94,222,2023-04-02,7,207.13
136,165,70,2023-12-31,4,93.80
137,474,471,2023-11-25,8,363.04
138,59,362,2023-12-02,3,88.29
141,107,352,2023-05-05,10,60.10
143,443,201,2023-10-04,7,260.75
152,377,213,2023-10-27,5,33.95
154,378,391,2023-10-12,5,167.10
158,183,225,2023-07-04,3,108.12
160,255,85,2023-03-27,3,58.29
162,295,298,2023-05-21,7,326.62
163,207,384,2023-11-23,3,101.76
166,272,486,2023-09-17,6,114.78
168,324,36,2023-01-11,10,345.10
170,121,77,2023-05-06,10,442.80
